,Trial_ID,cluster,Rat_ID,Amplitude,Frequency_Hz,Pulse_Width(us),post_stim,pre_stim,percent_change,Trial_Cluster
0,DW322_VF_1_240918_143256,0.0,DW322,51,5,300,8.797049815401718e-05,4.6735823603193273e-05,88.22926691294364,DW322_VF_1_240918_143256_0.0
1,DW322_VF_1_240918_143256,3.0,DW322,51,5,300,8.605560709044415e-05,2.300584523380252e-05,274.0597496674564,DW322_VF_1_240918_143256_3.0
2,DW322_VF_1_240918_143256,4.0,DW322,51,5,300,3.5102354605917774e-05,2.6505316828257194e-05,32.435144365055535,DW322_VF_1_240918_143256_4.0
3,DW322_VF_1_240918_143256,5.0,DW322,51,5,300,5.441264815655671e-05,3.0514587770664594e-05,78.31683837743559,DW322_VF_1_240918_143256_5.0
4,DW322_VF_1_240918_143256,10.0,DW322,51,5,300,5.170864147285185e-05,6.957337142844642e-05,-25.677539536757642,DW322_VF_1_240918_143256_10.0
5,DW322_VF_1_240918_143256,13.0,DW322,51,5,300,7.466141122279211e-05,6.516117977054533e-05,14.579587855376978,DW322_VF_1_240918_143256_13.0
6,DW322_VF_1_240918_143256,15.0,DW322,51,5,300,9.998904439216056e-05,5.9976504257581e-05,66.71369168622726,DW322_VF_1_240918_143256_15.0
7,DW322_VF_1_240918_143256,16.0,DW322,51,5,300,1.8078813895648003e-05,9.564384801633139e-06,89.02223478671631,DW322_VF_1_240918_143256_16.0
8,DW322_VF_1_240918_143256,17.0,DW322,51,5,300,4.685083453542652e-05,3.54670582099735e-05,32.09675935922944,DW322_VF_1_240918_143256_17.0
9,DW322_VF_1_240918_143256,18.0,DW322,51,5,300,3.479495095710641e-05,7.555374568601235e-05,-53.9467558607777,DW322_VF_1_240918_143256_18.0
10,DW322_VF_1_240918_143256,19.0,DW322,51,5,300,1.0763091307737846e-05,1.1761972015753148e-05,-8.492459484493516,DW322_VF_1_240918_143256_19.0
11,DW322_VF_1_240918_143256,20.0,DW322,51,5,300,8.015680990308161e-05,7.204926933018603e-05,11.252772787660751,DW322_VF_1_240918_143256_20.0
12,DW322_VF_1_240918_143256,21.0,DW322,51,5,300,5.193951108317572e-05,7.426680654988875e-05,-30.063626677841146,DW322_VF_1_240918_143256_21.0
13,DW322_VF_1_240918_143256,22.0,DW322,51,5,300,7.201536418836668e-06,0.00011753070084453659,-93.87263381645067,DW322_VF_1_240918_143256_22.0
14,DW322_VF_1_240918_143256,23.0,DW322,51,5,300,1.3097329230782446e-05,2.112437698346576e-05,-37.99897984667739,DW322_VF_1_240918_143256_23.0
15,DW322_VF_1_240918_143256,24.0,DW322,51,5,300,6.348170417732737e-05,4.989927521834671e-06,1172.1969186836354,DW322_VF_1_240918_143256_24.0
16,DW322_VF_1_240918_143256,25.0,DW322,51,5,300,3.5898051865525134e-05,3.830601381029739e-05,-6.2861198680112995,DW322_VF_1_240918_143256_25.0
17,DW322_VF_1_240918_143256,26.0,DW322,51,5,300,2.0019905611817612e-05,2.4590033418673678e-05,-18.585285058561613,DW322_VF_1_240918_143256_26.0
18,DW322_VF_1_240918_143256,27.0,DW322,51,5,300,4.3683991741647594e-05,3.0150148691443348e-05,44.88814694981974,DW322_VF_1_240918_143256_27.0
19,DW322_VF_1_240918_143256,28.0,DW322,51,5,300,6.072166439642361e-05,2.2972837562529284e-05,164.3193912425776,DW322_VF_1_240918_143256_28.0
20,DW322_VF_1_240918_143256,29.0,DW322,51,5,300,1.544359410602954e-05,2.2573481646394936e-06,584.147636060206,DW322_VF_1_240918_143256_29.0
